1794,16
1795,17
1796,12
1797,18
1801,1
1802,1
1804,1
1805,1
1806,2
1807,5
1808,9
1809,14
1810,8
1811,12
1812,46
1813,125
1814,76
1815,51
1816,24
1817,41
1818,34
1819,30
1820,41
1821,73
1822,71
1823,80
1824,85
1825,116
1826,73
1827,144
1828,74
1829,82
1830,101
1831,108
1832,109
1833,202
1834,165
1835,158
1836,243
1837,374
1838,302
1839,299
1840,327
1841,212
1842,138
1843,139
1844,277
1845,343
1846,269
1847,246
1848,240
1849,356
1850,310
1851,417
1852,377
1853,359
1854,561
1855,565
1856,482
1857,521
1858,533
1859,423
1860,536
1861,978
1862,1347
1863,1176
1864,1606
1865,1075
1866,1287
1867,1526
1868,1502
1869,1980
1870,2324
1871,3174
1872,2705
1873,2781
1874,2962
1875,3508
1876,2718
1877,3347
1878,3071
1879,2662
1880,3761
